name,popular_tags,game_details,genre,ID
Dragon Nest,"Free to Play,Action,Anime,RPG,Massively Multiplayer,MMORPG,Fantasy,Hack and Slash,Adventure,Dragons,Multiplayer,Dungeon Crawler,Open World","Single-player,Multi-player,MMO,Co-op","Action,Free to Play,Massively Multiplayer,RPG",dragonnest
The Guild II,"Simulation,Strategy,Medieval,RPG,Trading,Singleplayer,Economy,Management,Sandbox,Masterpiece,Politics,Female Protagonist,Building",Single-player,"Simulation,Strategy",theguildii
Final DOOM,"FPS,Action,Classic,Retro,Shooter,Singleplayer,First-Person,1990's,Moddable,Sci-fi,Difficult,Great Soundtrack,Multiplayer,Gore,Zombies,Demons,Old School,Horror,Online Co-Op,Atmospheric","Single-player,Steam Cloud",Action,finaldoom
ARMA: Cold War Assault,"Simulation,Action,Military,Strategy,Cold War,FPS,Classic,Tactical,Open World,Multiplayer,Shooter,War,Realistic,First-Person,Singleplayer,Masterpiece,Sandbox,Moddable,Team-Based,Third Person",Single-player,"Action,Simulation,Strategy",armacoldwarassault
BIT.TRIP RUNNER,"Indie,Rhythm,Platformer,Difficult,Music,Runner,Retro,Great Soundtrack,Action,Singleplayer,2D,Pixel Graphics,Arcade,Minimalist,Side Scroller,Addictive,Casual,Controller,Colorful,Replay Value","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie",bittriprunner
SpellForce - Platinum Edition,"RPG,Strategy,Fantasy,RTS,Action,Singleplayer,Story Rich,Masterpiece,Great Soundtrack,Classic",Single-player,"Action,RPG",spellforceplatinumedition
Anodyne,"Adventure,Indie,Exploration,Pixel Graphics,Action,Retro,Singleplayer,Surreal,Top-Down,Puzzle,Great Soundtrack,Action-Adventure,Action RPG,2D,RPG,Atmospheric,Colorful,Fantasy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",anodyne
Call of Juarez®: Bound in Blood,"Western,Action,FPS,Singleplayer,Multiplayer,Shooter,First-Person,Open World,Adventure,Story Rich,Atmospheric,Historical,Bullet Time,Great Soundtrack,Masterpiece",Single-player,Action,callofjuarezboundinblood
NOT A HERO,"Pixel Graphics,Action,Indie,Comedy,Adventure,Shooter,2D,Funny,Political,Great Soundtrack,Gore,Singleplayer,Difficult,Platformer,Fast-Paced,Shoot 'Em Up,Violent,Multiplayer","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Adventure,Indie",notahero
Train Fever,"Simulation,Trains,Management,Strategy,Economy,Sandbox,Indie,City Builder,Singleplayer,Building,Casual,Transportation,Adventure,Open World,Moddable,Masterpiece,Multiplayer,Great Soundtrack","Single-player,Steam Achievements","Casual,Indie,Simulation",trainfever
Osmos,"Indie,Casual,Puzzle,Relaxing,Singleplayer,Physics,Great Soundtrack,Atmospheric,2D,Difficult,Minimalist,Space,Strategy,Procedural Generation,Arcade,Science,Sci-fi,Space Sim,Simulation,Education","Single-player,Steam Achievements","Indie,Casual",osmos
Clockwork Tales: Of Glass and Ink,"Hidden Object,Adventure,Casual,Steampunk,Point & Click,Female Protagonist,Puzzle,Mystery,Singleplayer,Family Friendly,Indie,Horror,Great Soundtrack,2D,Story Rich,Atmospheric,Short,Colorful,Relaxing,Visual Novel","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual",clockworktalesofglassandink
You Must Build A Boat,"Casual,Match 3,Indie,Strategy,Action,RPG,Puzzle,Pixel Graphics,Singleplayer,2D,Great Soundtrack,Retro,Touch-Friendly,Rogue-lite,Rogue-like,Dungeon Crawler,Replay Value,Difficult,Family Friendly,Fantasy","Single-player,Steam Achievements,Steam Cloud","Action,Casual,Indie,RPG,Strategy",youmustbuildaboat
Grand Theft Auto: Episodes from Liberty City,"Open World,Action,Third Person,Multiplayer,Crime,Adventure,Sandbox,Shooter,Singleplayer,Driving,Third-Person Shooter,Mature,Great Soundtrack,Nudity,Racing,Story Rich,Moddable,Comedy,Atmospheric,Funny","Single-player,Multi-player",Action,grandtheftautoepisodesfromlibertycity
Savage Lands,"Early Access,Survival,Open World,Multiplayer,Crafting,Fantasy,Early Access,RPG,Adventure,Sandbox,Action,Co-op,Medieval,First-Person,Singleplayer,Indie,Simulation,Dragons,Atmospheric,FPS","Single-player,Online Multi-Player,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud","Action,Adventure,Indie,RPG,Simulation,Early Access",savagelands
Cloudbuilt,"Platformer,Parkour,Female Protagonist,Indie,Action,Fast-Paced,Great Soundtrack,Difficult,Sci-fi,Singleplayer,3D Platformer,Third Person,Anime,Time Attack,Runner","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor","Action,Indie",cloudbuilt
The Wizard's Pen™,"Casual,Hidden Object",Single-player,Casual,thewizardspen
Talismania Deluxe,"Casual,Puzzle",Single-player,Casual,talismaniadeluxe
WORLD END ECONOMiCA episode.01,"Visual Novel,Anime,Indie,Sci-fi,Economy,Singleplayer,Story Rich","Single-player,Steam Trading Cards",Indie,worldendeconomicaepisode01
Mountain,"Simulation,Indie,Relaxing,Casual,Singleplayer,Masterpiece,Great Soundtrack,God Game,Beautiful,Experimental,Space,Nature,Procedural Generation,Music,Realistic,Illuminati,VR,Funny,Third Person,Difficult","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,RPG,Simulation",mountain
RACE 07,"Racing,Simulation,Driving,Multiplayer,Sports,Singleplayer,Realistic,Physics","Single-player,Multi-player",Racing,race07
MASSIVE CHALICE,"Strategy,Turn-Based,Turn-Based Tactics,Indie,Tactical,Fantasy,Singleplayer,RPG,Kickstarter,Management,Tactical RPG,Turn-Based Strategy,Perma Death","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","Indie,Strategy",massivechalice
bit Dungeon II,"RPG,Pixel Graphics,Indie,Rogue-like,Action,Adventure,Dungeon Crawler,2D,Singleplayer,Rogue-lite,Perma Death,Multiplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie,RPG",bitdungeonii
Millie,"Casual,Indie,Action,Puzzle,Cute,Adventure,Arcade,Family Friendly,Top-Down,Female Protagonist,Singleplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Casual,Indie",millie
Dead Rising 2: Off the Record,"Zombies,Action,Open World,Adventure,Online Co-Op,Co-op,Third Person,Comedy,Funny,Gore,Sandbox,Horror,Survival Horror,Great Soundtrack,Singleplayer,Atmospheric,Survival,Beat 'em up","Single-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure",deadrising2offtherecord
Bleed,"Action,Indie,Platformer,Female Protagonist,Fast-Paced,2D,Shooter,Difficult,Pixel Graphics,Local Co-Op,Singleplayer,Bullet Time,Arcade,Side Scroller,Shoot 'Em Up,Short,Cute,Retro,Co-op,Local Multiplayer","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","Action,Indie",bleed
Knightmare Tower,"Action,Indie,Casual,2D,Singleplayer,Medieval,Arcade","Single-player,Steam Achievements,Full controller support,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Casual,Indie",knightmaretower
ORION: Prelude,"Dinosaurs,Action,FPS,Multiplayer,Online Co-Op,Co-op,Shooter,Indie,Adventure,Open World,Sci-fi,First-Person,Team-Based,Third-Person Shooter,Singleplayer,PvP,Mechs,Epic,Third Person,Strategy","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","Action,Adventure,Indie,RPG",orionprelude
Disciples III: Reincarnation,"RPG,Turn-Based Strategy,Strategy,Turn-Based,Fantasy,Dark Fantasy,Singleplayer,Multiplayer,Gothic,Masterpiece,Atmospheric","Single-player,Multi-player","RPG,Strategy",disciplesiiireincarnation
Avernum 6,"RPG,Indie,Isometric,Party-Based RPG,Turn-Based,Old School,Turn-Based Combat,CRPG,Fantasy",Single-player,"RPG,Indie",avernum6
Eryi's Action,"Platformer,Indie,Anime,Difficult,Action,Puzzle,Cute,Female Protagonist,Singleplayer,2D,Comedy,Casual,Side Scroller","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Indie",eryisaction
Post Mortem,"Adventure,Point & Click,Mystery,Detective,Noir,Horror,Atmospheric,Dark,Puzzle,Choices Matter,First-Person,Thriller,Investigation",Single-player,Adventure,postmortem
