name,popular_tags,game_details,genre,ID
DayZ,"Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","Action,Adventure,Massively Multiplayer",dayz
EVE Online,"Space,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,Atmospheric","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards","Action,Free to Play,Massively Multiplayer,RPG,Strategy",eveonline
TERA,"Free to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,Nudity","Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support","Action,Adventure,Free to Play,Massively Multiplayer,RPG",tera
Stonehearth,"City Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTS","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",stonehearth
Call of Duty®: Black Ops,"Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively Multiplayer","Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled",Action,callofdutyblackops
Grand Theft Auto IV,"Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Single-player,Multi-player,Partial Controller Support","Action,Adventure",grandtheftautoiv
Portal,"Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack","Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available",Action,portal
Viscera Cleanup Detail,"Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,Adventure","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation",visceracleanupdetail
Kingdoms of Amalur: Reckoning™,"RPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,Masterpiece","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,RPG",kingdomsofamalurreckoning
"Warhammer 40,000: Dawn of War II: Retribution","Warhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,Adventure","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards",Strategy,warhammer40000dawnofwariiretribution
Counter-Strike: Source,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK",Action,counterstrikesource
The Evil Within,"Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud",Action,theevilwithin
The Jackbox Party Pack 2,"Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly","Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,Strategy",thejackboxpartypack2
RUNNING WITH RIFLES,"Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,Indie",runningwithrifles
The Lord of the Rings Online™,"Free to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark Fantasy",MMO,"Free to Play,Massively Multiplayer,RPG",thelordoftheringsonline
Pillars of Eternity,"RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available",RPG,pillarsofeternity
Gang Beasts,"Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation","Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","Action,Adventure,Casual,Indie",gangbeasts
Castle Crashers®,"Co-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Casual,Indie,RPG",castlecrashers
Keep Talking and Nobody Explodes,"Co-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great Soundtrack","Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards",Indie,keeptalkingandnobodyexplodes
SPORE™,"Simulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTS",Single-player,Simulation,spore
Fishing Planet,"Fishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPG","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support","Free to Play,Massively Multiplayer,Simulation,Sports",fishingplanet
Just Cause™ 3,"Open World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure",justcause3
BioShock Infinite,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,bioshockinfinite
Men of War: Assault Squad 2,"Strategy,World War II,War,RTS,Simulation,Tactical,Action,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Destruction,Singleplayer,Atmospheric,Masterpiece,Difficult,Classic","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Simulation,Strategy",menofwarassaultsquad2
Dungeons & Dragons Online®,"Free to Play,RPG,MMORPG,Massively Multiplayer,Fantasy,Action,Adventure,Dragons,Multiplayer,Open World,Magic,Dungeons & Dragons,Third Person,Co-op,Character Customization,Dungeon Crawler,Puzzle,Sandbox,FPS,Online Co-Op",MMO,"Action,Adventure,Free to Play,Massively Multiplayer,RPG",dungeonsdragonsonline
METAL GEAR SOLID V: THE PHANTOM PAIN,"Stealth,Open World,Story Rich,Action,Tactical,Cinematic,Great Soundtrack,Third Person,Singleplayer,Atmospheric,Horses,Multiplayer,Adventure,Third-Person Shooter,Shooter,Replay Value,Sandbox,Masterpiece,Dark,Sci-fi","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","Action,Adventure",metalgearsolidvthephantompain
Heroes & Generals,"Free to Play,World War II,FPS,Multiplayer,War,Shooter,Action,First-Person,Massively Multiplayer,Tactical,Strategy,Co-op,Historical,Open World,Singleplayer,Simulation,Atmospheric,Adventure,Early Access,Indie","Multi-player,Online Multi-Player,MMO,Online Co-op,In-App Purchases","Action,Free to Play,Indie,Massively Multiplayer,Strategy",heroesgenerals
Universe Sandbox ²,"Early Access,Space,Sandbox,Simulation,Physics,Science,Destruction,Education,Realistic,Early Access,God Game,Singleplayer,Open World,Indie,Atmospheric,Casual,VR,Great Soundtrack,Sci-fi,Exploration","Single-player,Partial Controller Support","Casual,Indie,Simulation,Early Access",universesandbox
Fable Anniversary,"RPG,Masterpiece,Classic,Fantasy,Adventure,Open World,Singleplayer,Remake,Atmospheric,Action RPG,Third Person,Story Rich,Choices Matter,Action,Comedy,Great Soundtrack,Character Customization,Medieval,Magic,Sandbox","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud",RPG,fableanniversary
Baldur's Gate II: Enhanced Edition,"RPG,Classic,Fantasy,Isometric,Party-Based RPG,Dungeons & Dragons,Real-Time with Pause,Strategy,Story Rich,Masterpiece,CRPG,Singleplayer,Adventure,Old School,Character Customization,Magic,Atmospheric,Multiplayer,Remake,Romance","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Strategy",baldursgateiienhancededition
Freestyle 2: Street Basketball,"Free to Play,Basketball,Sports,Multiplayer,Massively Multiplayer,Action,Co-op,Casual,Competitive,Strategy,Simulation,Singleplayer,e-sports,Controller,Anime,Funny,Great Soundtrack,Open World,FPS,2D","Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,Partial Controller Support","Action,Casual,Free to Play,Massively Multiplayer,Sports",freestyle2streetbasketball
Battle Brothers,"Strategy,Turn-Based Combat,Medieval,RPG,Turn-Based Tactics,Open World,Turn-Based,Difficult,Sandbox,Singleplayer,Indie,Tactical,Procedural Generation,Perma Death,Replay Value,Fantasy,Turn-Based Strategy,Rogue-like,CRPG,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy",battlebrothers
Endless Legend™,"Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","RPG,Strategy",endlesslegend
Warface,"Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Open World,Adventure,Strategy,Simulation,Great Soundtrack","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Free to Play,Massively Multiplayer",warface
Empyrion - Galactic Survival,"Early Access,Survival,Open World,Space,Building,Sandbox,Multiplayer,Crafting,Exploration,Sci-fi,Early Access,Adventure,Co-op,Singleplayer,Simulation,First-Person,Aliens,Strategy,Indie,Action","Single-player,Multi-player,Co-op,Steam Workshop,Partial Controller Support","Adventure,Indie,Simulation,Strategy,Early Access",empyriongalacticsurvival
Total War: ATTILA,"Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Co-op,Action,Turn-Based,Open World,Simulation,Survival,Adventure","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",Strategy,totalwarattila
Prison Architect,"Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Indie,2D,Resource Management,Base Building,Economy,Top-Down,Moddable,City Builder,Replay Value,Early Access,Casual,Funny,Action,Comedy","Single-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation,Strategy",prisonarchitect
Ori and the Blind Forest,"Great Soundtrack,Atmospheric,Platformer,Adventure,Story Rich,Fantasy,Cute,2D,Metroidvania,Singleplayer,Difficult,Action,Indie,Puzzle,Exploration,Side Scroller,Family Friendly,Open World,RPG,2.5D","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats",Action,oriandtheblindforest
The Universim,"Early Access,God Game,City Builder,Simulation,Sandbox,Strategy,Early Access,Open World,Resource Management,Survival,Singleplayer,Indie,Management,Exploration,Aliens,Science,Sci-fi,RTS,Kickstarter,Casual","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy,Early Access",theuniversim
Divinity: Original Sin - Enhanced Edition,"RPG,Turn-Based,Co-op,Fantasy,Adventure,Party-Based RPG,Story Rich,Strategy,Turn-Based Combat,Open World,Character Customization,Singleplayer,Isometric,Local Co-Op,CRPG,Multiplayer,Great Soundtrack,Split Screen,Turn-Based Strategy,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","Adventure,Indie,RPG,Strategy",divinityoriginalsinenhancededition
Automation - The Car Company Tycoon Game,"Early Access,Simulation,Management,Building,Early Access,Sandbox,Strategy,Racing,Realistic,Crafting,Education,Moddable,Science,Replay Value,Singleplayer,Multiplayer",Single-player,"Simulation,Strategy,Early Access",automationthecarcompanytycoongame
Call of Duty®: Modern Warfare® 3,"Action,FPS,Multiplayer,Shooter,First-Person,War,Singleplayer,Online Co-Op,Military,Co-op,Casual,Story Rich,Survival,Linear,Controller,Point & Click,Adventure,Masterpiece,Zombies,Family Friendly","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled",Action,callofdutymodernwarfare3
Town of Salem,"Multiplayer,Strategy,Mystery,Indie,RPG,Casual,Werewolves,Funny,Great Soundtrack,Survival,Co-op,Board Game,Tactical,Massively Multiplayer,2D,Comedy,Family Friendly,Memes,Action,Horror","Multi-player,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Steam Cloud","Indie,RPG,Strategy",townofsalem
The Witcher 2: Assassins of Kings Enhanced Edition,"RPG,Fantasy,Mature,Story Rich,Choices Matter,Singleplayer,Third Person,Adventure,Dark Fantasy,Nudity,Multiple Endings,Action,Masterpiece,Atmospheric,Open World,Based On A Novel,Difficult,Medieval,Dark,Magic","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",RPG,thewitcher2assassinsofkingsenhancededition
Company of Heroes 2,"Strategy,World War II,RTS,Multiplayer,Tactical,Historical,War,Military,Singleplayer,Co-op,Online Co-Op,Tanks,Action,Real-Time,Base Building,Real-Time with Pause,Atmospheric,Simulation,Great Soundtrack,Masterpiece","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats",Strategy,companyofheroes2
PlanetSide 2,"Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG","Multi-player,MMO,Steam Trading Cards","Action,Free to Play,Massively Multiplayer",planetside2
Baldur's Gate: Enhanced Edition,"RPG,Fantasy,Classic,Isometric,Dungeons & Dragons,Party-Based RPG,Real-Time with Pause,Singleplayer,Strategy,CRPG,Story Rich,Co-op,Character Customization,Adventure,Multiplayer,Masterpiece,Online Co-Op,Remake,Magic,Atmospheric","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Strategy",baldursgateenhancededition
Call of Duty®: Black Ops II,"Action,Multiplayer,FPS,Shooter,First-Person,Singleplayer,Co-op,War,Online Co-Op,Team-Based,Futuristic,Survival,Controller,Tactical,Adventure,Great Soundtrack,Sci-fi,Massively Multiplayer,Atmospheric,Horror","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards",Action,callofdutyblackopsii
Undertale,"Great Soundtrack,Story Rich,Choices Matter,Funny,Multiple Endings,Pixel Graphics,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Cute,Bullet Hell,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror","Single-player,Steam Trading Cards","Indie,RPG",undertale
Total War: SHOGUN 2,"Strategy,Historical,Turn-Based Strategy,RTS,Grand Strategy,Tactical,Singleplayer,Real Time Tactics,Multiplayer,Diplomacy,Ninja,Military,Turn-Based,Co-op,Great Soundtrack,Medieval,Turn-Based Tactics,Stylized,Moddable,Action","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats",Strategy,totalwarshogun2
FINAL FANTASY VII,"JRPG,RPG,Classic,Turn-Based,Story Rich,Singleplayer,Great Soundtrack,Fantasy,Masterpiece,Retro,Adventure,Open World,Sci-fi,Party-Based RPG,Epic,Cyberpunk,Atmospheric,Exploration,Dystopian,Strategy","Single-player,Steam Achievements,Partial Controller Support",RPG,finalfantasyvii
Euro Truck Simulator 2,"Simulation,Driving,Open World,Realistic,Relaxing,Singleplayer,Moddable,Exploration,First-Person,Economy,Atmospheric,Adventure,Management,Indie,Casual,TrackIR,Racing,Sandbox,Action,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor","Indie,Simulation",eurotrucksimulator2
Dishonored,"Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian,FPS,RPG,Replay Value,Fantasy,Masterpiece,Open World,Shooter","Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure",dishonored
Assetto Corsa,"Racing,Simulation,Driving,Realistic,Multiplayer,Sports,VR,Moddable,Physics,Controller,Singleplayer,First-Person,Replay Value,Indie,Open World,Action,3D Vision,TrackIR,Artificial Intelligence,Early Access","Single-player,Online Multi-Player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Includes level editor","Indie,Racing,Simulation,Sports",assettocorsa
Trove,"Free to Play,Open World,Multiplayer,Adventure,MMORPG,Massively Multiplayer,Building,Sandbox,Pixel Graphics,Action,RPG,Crafting,Third Person,Co-op,Exploration,Dungeon Crawler,Voxel,Funny,Casual,FPS","Online Multi-Player,MMO,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG",trove
Age of Mythology: Extended Edition,"Strategy,Mythology,Masterpiece,RTS,Classic,Multiplayer,Great Soundtrack,Epic,Singleplayer,Fantasy,Simulation,Historical,Atmospheric,Adventure,Real-Time,Tactical,Story Rich,Co-op,Remake,Action","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Simulation,Strategy",ageofmythologyextendededition
Call of Duty: World at War,"Zombies,World War II,FPS,Multiplayer,Action,Shooter,Co-op,Moddable,First-Person,Singleplayer,War,Online Co-Op,Gore,Historical,Survival,Classic,Tanks,Great Soundtrack,Adventure,Horror","Single-player,Multi-player,Co-op",Action,callofdutyworldatwar
Killing Floor 2,"Zombies,Co-op,Gore,FPS,Survival,Multiplayer,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Masterpiece,Singleplayer,Early Access,Indie","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Includes level editor",Action,killingfloor2
MapleStory,"Free to Play,Massively Multiplayer,RPG,MMORPG,Anime,2D,Adventure,Casual,Side Scroller,Platformer,Action RPG,Multiplayer,Fantasy,Action,Cute,Open World,Pixel Graphics,Co-op,Great Soundtrack,Hack and Slash","Single-player,Multi-player,MMO,Co-op,Steam Trading Cards","Casual,Free to Play,Massively Multiplayer,RPG",maplestory
Mount & Blade: Warband,"Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Hack and Slash,Simulation,Fantasy,Indie","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,RPG",mountbladewarband
Don't Starve,"Survival,Crafting,Indie,Adventure,Sandbox,Singleplayer,Perma Death,Open World,Exploration,Rogue-like,Multiplayer,Replay Value,Moddable,Difficult,Simulation,2D,Top-Down,Survival Horror,Horror,Action","Single-player,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud","Adventure,Indie,Simulation",dontstarve
Call of Duty®: Modern Warfare® 2,"Action,FPS,Multiplayer,Shooter,First-Person,Singleplayer,War,Military,Co-op,Online Co-Op,PvP,Masterpiece,Great Soundtrack,Story Rich,Atmospheric,Adventure,Tactical,Strategy,Linear,Moddable","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled",Action,callofdutymodernwarfare2
Neverwinter,"Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Action,Fantasy,Open World,Character Customization,Co-op,Dungeons & Dragons,Dragons,PvP,Third Person,Action RPG,PvE,Atmospheric,Hack and Slash,Zombies","Multi-player,MMO,Co-op,Steam Trading Cards,In-App Purchases,Includes level editor","Adventure,Free to Play,Massively Multiplayer,RPG",neverwinter
The Binding of Isaac: Rebirth,"Rogue-like,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,Remake,2D,Local Co-Op,Gore,Procedural Generation,Atmospheric,Rogue-lite,Action,Horror,Twin Stick Shooter,Co-op","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,thebindingofisaacrebirth
Age of Empires® III: Complete Collection,"Strategy,RTS,Base Building,Historical,Multiplayer,Resource Management,City Builder,War,Simulation,Real-Time,Singleplayer,Classic,Military,Building,Open World,Action,Co-op,Online Co-Op,Real-Time with Pause,Adventure","Single-player,Multi-player,Steam Trading Cards","Simulation,Strategy",ageofempiresiiicompletecollection
Microsoft Flight Simulator X: Steam Edition,"Flight,Simulation,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Adventure,Atmospheric,First-Person,Action,Difficult,Massively Multiplayer,Co-op,Third Person,Strategy,Local Multiplayer,Military,Sandbox,VR","Single-player,Multi-player,Partial Controller Support",Simulation,microsoftflightsimulatorxsteamedition
Elite Dangerous,"Space Sim,Space,Open World,Exploration,Sci-fi,Simulation,Massively Multiplayer,Multiplayer,First-Person,Action,Sandbox,Adventure,Online Co-Op,Trading,VR,Singleplayer,RPG,Difficult,Strategy,TrackIR","Single-player,Multi-player,MMO,Co-op,Partial Controller Support","Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",elitedangerous
Realm of the Mad God,"Free to Play,Massively Multiplayer,Pixel Graphics,RPG,Perma Death,Multiplayer,Bullet Hell,MMORPG,Action,2D,Rogue-like,Open World,Indie,Difficult,Adventure,Co-op,Survival,Retro,Strategy,Casual","Multi-player,MMO,Co-op,Cross-Platform Multiplayer,Steam Achievements,Stats","Action,Free to Play,Indie,Massively Multiplayer,RPG",realmofthemadgod
Portal 2,"Puzzle,Co-op,First-Person,Sci-fi,Comedy,Singleplayer,Online Co-Op,Funny,Adventure,Science,Female Protagonist,Story Rich,Action,Multiplayer,Atmospheric,Masterpiece,Local Co-Op,FPS,Strategy,Space","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary available","Action,Adventure",portal2
BeamNG.drive,"Early Access,Simulation,Driving,Physics,Destruction,Realistic,Racing,Open World,Sandbox,Moddable,Singleplayer,Early Access,First-Person,Funny,Third Person,Action,Multiplayer,Adventure,Casual,Free to Play","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Includes level editor","Racing,Simulation,Early Access",beamngdrive
DARK SOULS™ II,"Masterpiece,RPG,Dark Fantasy,Difficult,Action RPG,Action,Unforgiving,Adventure,Exploration,Atmospheric,Co-op,Multiplayer,Fantasy,Epic,PvP,Third Person,Replay Value,Open World,Dark,Medieval","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support","Action,RPG",darksoulsii
Total War™: ROME II - Emperor Edition,"Strategy,Turn-Based Strategy,Historical,Grand Strategy,Rome,Tactical,Multiplayer,War,Turn-Based,Real Time Tactics,RTS,Singleplayer,Online Co-Op,Turn-Based Tactics,Masterpiece,Simulation,Moddable,Co-op,Action,Atmospheric","Single-player,Multi-player,Steam Trading Cards,Steam Cloud",Strategy,totalwarromeiiemperoredition
Left 4 Dead 2,"Zombies,Co-op,FPS,Multiplayer,Shooter,Action,Online Co-Op,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Replay Value,Local Co-Op,Tactical","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available",Action,left4dead2
Darkest Dungeon®,"Turn-Based Combat,Dark Fantasy,Dungeon Crawler,RPG,Rogue-like,Lovecraftian,Difficult,Turn-Based,Singleplayer,Perma Death,Atmospheric,Strategy,Dark,Indie,2D,Horror,Rogue-lite,Gothic,Fantasy,Kickstarter","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Indie,RPG,Strategy",darkestdungeon
Vampire: The Masquerade - Bloodlines,"RPG,Vampire,Cult Classic,Masterpiece,Singleplayer,Supernatural,Action,Horror,Dark,Atmospheric,Classic,Story Rich,Action RPG,Great Soundtrack,First-Person,Gothic,Female Protagonist,Third Person,Adventure,Stealth",Single-player,Action,vampirethemasqueradebloodlines
